seed,total_train_units,sel_ratio,sel_sensor_num,method,initial_units_nums_ratio,initial_units_nums,update_period_ratio,update_period,rmse_test,mape_test,mae_test,time(s)
0,100,0.1,1,random,1.0,100,0.0,0,68.2139,0.421,49.96988473191447,121.453125
0,100,0.1,1,greedy,1.0,100,0.0,0,63.5195,0.3408,44.97876236090547,319.703125
0,100,0.1,1,linear_approx,1.0,100,0.0,0,62.4261,0.3398,44.12096908237355,1238.71875
0,100,0.2,3,random,1.0,100,0.0,0,65.0984,0.3807,47.36960034578701,115.96875
0,100,0.2,3,greedy,1.0,100,0.0,0,63.5183,0.3417,45.03769547045332,632.625
0,100,0.2,3,linear_approx,1.0,100,0.0,0,62.5431,0.3372,44.23770276653901,1847.796875
0,100,0.4,6,random,1.0,100,0.0,0,64.1266,0.358,46.05012336539392,127.359375
0,100,0.4,6,greedy,1.0,100,0.0,0,63.228,0.3423,44.9588398574386,961.359375
0,100,0.4,6,linear_approx,1.0,100,0.0,0,62.9351,0.3409,44.65933623119567,6939.515625
0,100,0.8,12,random,1.0,100,0.0,0,63.3536,0.3459,45.14079652705404,135.4375
0,100,0.8,12,greedy,1.0,100,0.0,0,63.2439,0.3428,44.88103272298154,1747.484375
0,100,0.8,12,linear_approx,1.0,100,0.0,0,63.2084,0.344,44.98401603960273,1581.03125
0,100,0.1,1,random,0.8,80,0.2,20,70.259,0.4195,51.64426546343619,96.9375
0,100,0.1,1,greedy,0.8,80,0.2,20,63.0967,0.3312,44.0519468897036,361.5625
0,100,0.1,1,linear_approx,0.8,80,0.2,20,63.4778,0.3583,45.58961937770702,1437.703125
0,100,0.1,1,random,0.8,80,0.1,10,69.9021,0.4378,51.75365822323857,128.484375
0,100,0.1,1,greedy,0.8,80,0.1,10,64.5272,0.33,44.66705257853013,359.390625
0,100,0.1,1,linear_approx,0.8,80,0.1,10,64.1254,0.3493,45.37994070122827,1448.4375
0,100,0.1,1,random,0.4,40,0.4,40,69.0163,0.3893,49.384885386330865,127.59375
0,100,0.1,1,greedy,0.4,40,0.4,40,62.6938,0.3456,44.98923862157307,361.453125
0,100,0.1,1,linear_approx,0.4,40,0.4,40,63.4788,0.3515,45.18137963655885,1442.125
0,100,0.1,1,random,0.4,40,0.2,20,68.3269,0.4143,50.01206818795942,126.953125
0,100,0.1,1,greedy,0.4,40,0.2,20,60.6868,0.3346,43.38840575995336,361.890625
0,100,0.1,1,linear_approx,0.4,40,0.2,20,63.3312,0.3603,45.6755721583519,1446.046875
0,100,0.1,1,random,0.4,40,0.1,10,66.6126,0.387,48.70681054429763,128.46875
0,100,0.1,1,greedy,0.4,40,0.1,10,63.1941,0.3485,45.12336032895389,366.96875
0,100,0.1,1,linear_approx,0.4,40,0.1,10,66.3403,0.3487,47.168821159408346,1459.96875
0,100,0.1,1,random,0.2,20,0.8,80,68.3525,0.3977,49.74111644132305,128.265625
0,100,0.1,1,greedy,0.2,20,0.8,80,63.8079,0.3638,45.84229106660464,356.453125
0,100,0.1,1,linear_approx,0.2,20,0.8,80,64.1434,0.3443,45.37153087180261,1442.359375
0,100,0.1,1,random,0.2,20,0.4,40,67.8619,0.3935,49.22420247249022,128.96875
0,100,0.1,1,greedy,0.2,20,0.4,40,64.4179,0.3442,45.7423986539849,359.75
0,100,0.1,1,linear_approx,0.2,20,0.4,40,63.0515,0.3356,44.336055885816464,1456.25
0,100,0.1,1,random,0.2,20,0.2,20,67.5596,0.4011,49.493965464143095,129.765625
0,100,0.1,1,greedy,0.2,20,0.2,20,65.9269,0.3575,46.97398654016719,366.25
0,100,0.1,1,linear_approx,0.2,20,0.2,20,64.2091,0.3323,44.96714783956606,1457.765625
0,100,0.1,1,random,0.2,20,0.1,10,66.8018,0.3749,47.684634625062166,128.8125
0,100,0.1,1,greedy,0.2,20,0.1,10,70.384,0.386,50.748758468238556,372.546875
0,100,0.1,1,linear_approx,0.2,20,0.1,10,64.103,0.3329,45.46837866996939,1467.921875
0,100,0.1,1,random,0.0,0,0.8,80,72.2034,0.3941,50.92186780862038,128.078125
0,100,0.1,1,greedy,0.0,0,0.8,80,67.5919,0.3208,46.448901052737426,357.765625
0,100,0.1,1,linear_approx,0.0,0,0.8,80,64.7097,0.3184,45.248998715935855,1448.25
0,100,0.1,1,random,0.0,0,0.4,40,69.8116,0.3965,50.66656842860766,128.609375
0,100,0.1,1,greedy,0.0,0,0.4,40,66.1474,0.341,46.10876991377546,358.640625
0,100,0.1,1,linear_approx,0.0,0,0.4,40,63.6673,0.3578,45.342234829464545,1443.3125
0,100,0.1,1,random,0.0,0,0.2,20,68.1365,0.4048,49.8386698704058,130.015625
0,100,0.1,1,greedy,0.0,0,0.2,20,61.5766,0.3285,44.06745904835307,361.734375
0,100,0.1,1,linear_approx,0.0,0,0.2,20,63.597,0.3189,44.07193990016024,1461.5625
0,100,0.1,1,random,0.0,0,0.1,10,67.7411,0.4032,49.9243351170165,127.6875
0,100,0.1,1,greedy,0.0,0,0.1,10,66.9352,0.3503,47.6252168686246,366.796875
0,100,0.1,1,linear_approx,0.0,0,0.1,10,64.2681,0.3225,44.01981771649005,1448.03125
